PAIS,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
CUBA,591233,629512,586217,635234,670403,687303,795582,711815,590779,867151,986843,937108,622791,499799,447583,356843,241152,128056,54701,15889,3068
CURACAO,10047,9776,9957,9969,10275,11196,10853,9732,7065,8157,8319,10901,10102,8505,6775,4549,2924,1509,576,140,18
CYPRUS,68963,67195,62613,67074,88637,108130,107104,108706,97252,89184,86501,80425,70562,56315,44875,31143,18235,9273,3541,830,118
CZECHIA,497537,545038,581200,491013,493162,647798,729977,768175,920079,873103,693541,660821,636284,674264,610478,415493,239389,145010,62450,16128,1558
DENMARK,317657,306280,339874,346052,377482,402554,366510,336073,361996,396156,408718,394797,346690,319762,320859,248291,150839,80206,35730,11063,1821
DJIBOUTI,97103,90618,88568,91052,96302,95905,82463,66491,54484,42326,33753,26596,19579,15278,10612,6309,3032,1061,240,30,2
DOMINICA,5417,5375,5103,4752,5011,6000,5552,5553,4514,4248,5903,4264,3556,3086,2167,1612,1137,656,266,63,8
DOMINICAN REPUBLIC,943709,937740,937704,964821,940797,888532,821472,737591,651116,596776,561561,484618,372932,269569,186790,114295,60424,22808,5777,633,42
ECUADOR,1431557,1453240,1479662,1498273,1511494,1415380,1329161,1208792,1091404,939880,829295,730553,608924,484215,349668,250776,161457,87219,34475,8328,1114
EGYPT,13510002,12047580,9444123,9193508,9562092,9394447,8295329,6633695,5755598,4918404,4411684,3562511,2770471,1958417,1273822,801728,403237,146848,36028,4626,290
EL SALVADOR,587438,553284,533617,577321,642548,612513,515764,443362,403031,349597,301441,258900,209590,169430,130794,93964,58117,28848,9666,1722,155
EQUATORIAL GUINEA,116711,107814,99292,89386,77314,66102,56430,47683,39927,34131,29332,22738,16520,12226,9237,6420,3408,1202,269,34,2
ERITREA,791724,769497,763695,687411,562619,455854,398335,369089,331024,277643,200298,129886,100941,88065,69646,47562,26066,9487,2100,240,14
ESTONIA,61173,67261,70873,56962,51900,65091,91216,88239,84063,84905,82141,83769,83058,74661,62550,45624,40723,21975,9834,2355,251
ESWATINI,125932,125465,120051,108550,98133,111041,104413,82459,60889,42979,34030,26762,21439,16533,12188,7725,4040,1491,323,34,2
ETHIOPIA,15855641,14395888,12787251,11338472,9709800,8599192,7582926,6515428,5282715,4229135,3378442,2690737,2093188,1551640,1056164,621029,299625,101881,21516,2354,126
FAROE ISLANDS,3638,3269,3260,3553,3620,3873,3567,2437,2806,3032,3390,3200,2995,2638,2385,1780,1050,661,340,111,23
FEDERATED STATES OF MICRONESIA,9568,9784,10236,10294,9112,8290,7992,7778,6791,5709,4738,4058,3356,2415,1328,539,258,139,41,9,1
FIJI,82131,83992,85249,73108,72024,72682,71437,73424,65001,52543,49115,48152,38424,28174,19797,12023,5925,2147,536,82,8
FINLAND,297576,305763,310886,298216,311680,353424,350102,361989,348532,316670,351154,367603,357694,355085,350318,221071,158318,94953,45704,12934,1993
FRANCE,4072165,4180021,4201899,4101665,3960254,3920974,4037397,4098391,3992369,4491352,4445286,4343289,4118547,3903382,3590194,2260466,1853166,1365111,682616,204726,24886
FRENCH POLYNESIA,20921,21346,21753,21883,21550,23778,24726,22106,19971,20071,19905,16953,13480,10066,6912,4858,2882,1379,457,106,18
GABON,274521,268792,269944,254663,233856,206143,159843,117905,88491,77348,74949,66142,49562,33519,23615,16103,9914,4341,1086,159,12
"GAMBIA, THE",270620,261808,249313,227490,209331,195614,169544,142501,116414,88235,67154,53717,42040,31999,23208,14425,7227,2662,612,79,6
